temp,grainRadius,igDiffCoeff,resolution,gbDiffCoeff,prefix,filename
1.0419,1.0215,0.16164,7.8576,1.5596,31,BISON_FGR100_31.csv
1.0157,0.95058,8.2663,9.1714,6.4644,32,BISON_FGR100_32.csv
0.96831,0.43504,1.0112,2.3033,5.1388,33,BISON_FGR100_33.csv
0.96637,1.3805,6.2409,1.6041,0.40887,34,BISON_FGR100_34.csv
0.9641,1.1956,5.1538,7.2025,4.7833,35,BISON_FGR100_35.csv
1.0147,0.51185,5.2864,7.7161,2.9314,36,BISON_FGR100_36.csv
0.99692,0.78743,4.3182,8.4161,2.518,37,BISON_FGR100_37.csv
1.039,0.41452,3.4561,5.5381,4.7493,38,BISON_FGR100_38.csv
0.98755,0.60716,2.8757,4.2536,2.1967,39,BISON_FGR100_39.csv
1.0378,1.3374,1.9995,7.9351,9.9314,40,BISON_FGR100_40.csv
1.0281,1.2054,6.1251,3.259,2.6696,41,BISON_FGR100_41.csv
1.013,1.0843,8.0535,2.0444,3.3691,42,BISON_FGR100_42.csv
0.98469,0.55312,1.8021,0.9714,9.3189,43,BISON_FGR100_43.csv
1.0006,0.69822,8.5924,5.9957,7.2886,44,BISON_FGR100_44.csv
0.97477,0.74665,1.919,3.9349,3.5551,45,BISON_FGR100_45.csv
0.95914,1.1688,4.6509,0.1174,0.1226,46,BISON_FGR100_46.csv
1.0456,0.99152,7.0054,5.6419,4.2198,47,BISON_FGR100_47.csv
0.95814,0.40252,4.4714,3.0379,6.0983,48,BISON_FGR100_48.csv
1.0252,0.7166,6.6778,6.6823,8.8852,49,BISON_FGR100_49.csv
0.98056,1.4543,0.2358,8.648,1.8613,50,BISON_FGR100_50.csv
1.034,0.56813,4.9118,2.6224,8.9507,51,BISON_FGR100_51.csv
0.95238,0.86059,4.3648,6.1393,1.8903,52,BISON_FGR100_52.csv
0.97998,1.039,0.76877,0.5925,1.2392,53,BISON_FGR100_53.csv
1.0423,1.5173,6.3569,9.2634,4.6119,54,BISON_FGR100_54.csv
1.0308,0.66659,4.7104,6.9106,3.7902,55,BISON_FGR100_55.csv
1.001,1.597,8.1864,2.45,5.2453,56,BISON_FGR100_56.csv
1.0297,1.0014,5.6772,6.8223,8.5602,57,BISON_FGR100_57.csv
0.98178,0.75037,2.1341,9.5731,7.2236,58,BISON_FGR100_58.csv
1.0058,1.4149,1.2866,0.87181,8.6475,59,BISON_FGR100_59.csv
0.99569,0.88613,9.5427,0.66373,5.9887,60,BISON_FGR100_60.csv
1.0358,0.4626,8.4136,5.8338,7.4918,61,BISON_FGR100_61.csv
0.97559,0.62611,2.4816,8.7878,9.4702,62,BISON_FGR100_62.csv
0.99047,1.5446,1.5068,7.3965,6.6572,63,BISON_FGR100_63.csv
0.96069,1.2236,1.5982,4.3187,5.3179,64,BISON_FGR100_64.csv
0.96732,1.2643,7.5923,5.1318,8.4778,65,BISON_FGR100_65.csv
1.05,1.0747,3.8564,1.7936,7.9382,66,BISON_FGR100_66.csv
1.0208,0.45213,9.3039,1.137,1.4696,67,BISON_FGR100_67.csv
1.0472,1.5567,9.9065,9.6656,3.7446,68,BISON_FGR100_68.csv
0.98992,0.78273,6.8797,7.766,4.8762,69,BISON_FGR100_69.csv
1.0484,1.3323,2.6106,2.9396,1.0464,70,BISON_FGR100_70.csv
0.98568,1.5154,5.7447,3.3729,5.8877,71,BISON_FGR100_71.csv
0.97142,1.4031,5.0411,1.4139,7.0511,72,BISON_FGR100_72.csv
1.0046,0.60042,6.4938,2.8677,0.20717,73,BISON_FGR100_73.csv
0.99148,1.1515,5.4678,4.3654,4.9825,74,BISON_FGR100_74.csv
0.95564,1.4363,4.2293,0.44067,6.8086,75,BISON_FGR100_75.csv
1.0435,0.82956,2.8287,8.3091,2.8154,76,BISON_FGR100_76.csv
1.0337,0.56655,3.6068,1.0333,0.61733,77,BISON_FGR100_77.csv
1.0229,1.468,9.3179,9.7427,9.0875,78,BISON_FGR100_78.csv
1.0231,0.85227,7.0841,5.3079,3.0879,79,BISON_FGR100_79.csv
0.96247,1.1906,4.1128,4.1545,9.2439,80,BISON_FGR100_80.csv
1.0261,1.534,3.6706,1.3559,0.37648,81,BISON_FGR100_81.csv
1.0218,1.4295,7.8715,2.2359,2.3763,82,BISON_FGR100_82.csv
0.96522,0.98626,7.6995,3.6612,3.1988,83,BISON_FGR100_83.csv
0.95747,1.2619,0.8707,4.7815,1.6271,84,BISON_FGR100_84.csv
0.98604,0.89591,3.2035,7.0119,7.4027,85,BISON_FGR100_85.csv
1.0464,0.93954,9.8532,7.305,5.4779,86,BISON_FGR100_86.csv
1.0323,1.5794,9.6319,1.5705,6.9519,87,BISON_FGR100_87.csv
0.98288,0.72697,5.356,3.8571,4.4966,88,BISON_FGR100_88.csv
0.95188,0.48121,7.9268,1.228,0.5132,89,BISON_FGR100_89.csv
1.0187,0.83509,0.59171,1.9593,0.72389,90,BISON_FGR100_90.csv
0.97826,1.5706,1.1656,6.4874,9.1197,91,BISON_FGR100_91.csv
1.0132,0.50343,1.7727,8.0697,3.3061,92,BISON_FGR100_92.csv
1.0116,1.1611,3.0164,7.4719,6.2211,93,BISON_FGR100_93.csv
0.9709,1.4823,9.2011,7.6087,8.7135,94,BISON_FGR100_94.csv
1.0109,0.67614,0.42399,0.34331,8.2537,95,BISON_FGR100_95.csv
0.99783,0.5387,0.34847,3.2792,6.6131,96,BISON_FGR100_96.csv
1.0083,1.1176,3.4816,3.7198,4.0141,97,BISON_FGR100_97.csv
0.9934,1.3033,5.0968,9.9566,0.81672,98,BISON_FGR100_98.csv
1.0063,1.0589,6.5535,5.4301,5.6699,99,BISON_FGR100_99.csv
